listed_company_code,listed_company_name,partner_name,publication_number,application_number,title,application_date,patent_type,all_assignees,applicant_addresses,listed_company_addresses
600519,贵州茅台酒股份有限公司,湖南博雅智能装备股份有限公司,CN207329688U,CN201721419029.9,一种用于成品箱输送分流的自动挡箱装置,20171030,实用新型,湖南博雅智能装备股份有限公司|贵州茅台酒股份有限公司,|贵州省遵义市仁怀市茅台镇,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,江苏澳盛复合材料科技有限公司,CN211867694U,CN202020428549.1,碳纤维锹棒及酿酒工具,20200330,实用新型,贵州茅台酒股份有限公司|江苏澳盛复合材料科技有限公司,贵州省遵义市仁怀市茅台镇|,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,绍兴赤兔龙机械科技有限公司,CN218089494U,CN202221844116.X,酿酒风冷器,20220718,实用新型,贵州茅台酒股份有限公司|绍兴赤兔龙机械科技有限公司,贵州省遵义市仁怀市茅台镇|,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,茅台学院,CN220724416U,CN202322473714.1,一种纺丝喷射装置,20230912,实用新型,贵州茅台酒股份有限公司|茅台学院,贵州省遵义市仁怀市茅台镇|,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,茅台学院,CN220767261U,CN202322428728.1,一种纺丝冷却装置,20230907,实用新型,贵州茅台酒股份有限公司|茅台学院,贵州省遵义市仁怀市茅台镇|,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,中国科学院青岛生物能源与过程研究所,CN119061110A,CN202411265029.2,一种菌液中微生物总数的检测方法及应用,20240910,发明申请,贵州茅台酒股份有限公司|中国科学院青岛生物能源与过程研究所,贵州省遵义市仁怀市茅台镇|,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,中国科学院大连化学物理研究所,CN120903615A,CN202511012281.7,一种自动制备除二氧化碳水装置,20250722,发明申请,贵州茅台酒股份有限公司|中国科学院大连化学物理研究所,贵州省遵义市仁怀市茅台镇|,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,清华大学,CN120943412A,CN202511075704.X,用于强化高盐废水中厌氧反硝化颗粒污泥稳定性的助剂和应用,20250801,发明申请,清华大学|贵州茅台酒股份有限公司,|贵州省遵义市仁怀市茅台镇,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,清华大学,CN121134973A,CN202511075701.6,耐盐厌氧反硝化颗粒污泥的培养方法和应用,20250801,发明申请,清华大学|贵州茅台酒股份有限公司,|贵州省遵义市仁怀市茅台镇,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,中国科学院大连化学物理研究所,CN121364320A,CN202511444326.8,一种多样品、多试剂瓶兼容的宽体积自动液体处理平台装置及处理流程,20251010,发明申请,贵州茅台酒股份有限公司|中国科学院大连化学物理研究所,贵州省遵义市仁怀市茅台镇|,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,貴州茅台酒股▲ふん▼有限公司,JP7863248B1,JP2025281771,清掃機能付き搬送設備,20251225,发明授权,"貴州茅台酒股▲ふん▼有限公司|KWEICHOW MOUTAI CO., LTD.",|贵州省遵义市仁怀市茅台镇,贵州省遵义市仁怀市茅台镇
600519,贵州茅台酒股份有限公司,貴州茅台酒股▲ふん▼有限公司,JP2026119065A,JP2025281771,清掃機能付き搬送設備,20251225,发明申请,"貴州茅台酒股▲ふん▼有限公司|KWEICHOW MOUTAI CO., LTD.",|贵州省遵义市仁怀市茅台镇,贵州省遵义市仁怀市茅台镇
